地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
大古崗１２６號五樓,,111/01/04,520,17.2,30.17,68.91%,華廈(10層含以下有電梯),2,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
珠浦西路６巷３弄５號九樓,祥瑞典藏,110/12/30,1615,32,50.43,55.42%,華廈(10層含以下有電梯),7,九層/十層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,辦公用,
珠浦西路６巷２弄１號五樓,,110/12/17,710,28.8,24.65,62.01%,華廈(10層含以下有電梯),9,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;
金門城１０３之５號三樓,,110/12/13,580,18.6,31.22,73.48%,華廈(10層含以下有電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用,建物第一次登記後移轉
民生路２７巷８號,,110/12/13,354,0,35.21,,透天厝,35,全/三層,房地(土地+建物),土:2 建:1車:0,,,無,無,住商用,親友、員工、共有人或其他特殊關係間之交易;
民權路７０巷１之１弄１１號,,110/12/08,880,0,58.08,,透天厝,40,全/二層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
西海路三段３９巷２弄５號三樓,,110/12/02,665,20.7,32.16,73.70%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
民權路２２６巷２弄１２號四樓之１,熙鼎御苑,110/12/01,1080,27,45.69,67.50%,住宅大樓(11層含以上有電梯),5,四層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100,有,有,住家用,預售屋、或土地及建物分件登記案件;
金門城２２８號三樓,,110/12/01,485,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２８號四樓,,110/12/01,500,21.3,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２８號五樓,,110/12/01,500,21.3,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２９號,,110/12/01,540,23,23.5,73.75%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２９號二樓,,110/12/01,500,21.3,23.5,73.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２９號三樓,,110/12/01,485,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２９號四樓,,110/12/01,465,19.8,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２２９號五樓,,110/12/01,520,22.1,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２３０號二樓,,110/12/01,480,20.4,23.5,73.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２３０號三樓,,110/12/01,485,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２３０號四樓,,110/12/01,470,20,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
金門城２３０號五樓,,110/12/01,520,22.1,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
